quiz_title,original_directory,moduleid,quiz_userinfo,files_copied,total_size_bytes,output_folder
Quiz 0: Typing STACK Answers,activities/quiz_8750,8750,1,Quiz 0: Typing STACK Answers - grades.xml;Quiz 0: Typing STACK Answers - inforef.xml;Quiz 0: Typing STACK Answers - quiz (part1of2).xml;Quiz 0: Typing STACK Answers - quiz (part2of2).xml,52701766,
Tutorial 1 - Integration Techniques,activities/quiz_8755,8755,1,Tutorial 1 - Integration Techniques - grades.xml;Tutorial 1 - Integration Techniques - inforef.xml;Tutorial 1 - Integration Techniques - quiz (part1of5).xml;Tutorial 1 - Integration Techniques - quiz (part2of5).xml;Tutorial 1 - Integration Techniques - quiz (part3of5).xml;Tutorial 1 - Integration Techniques - quiz (part4of5).xml;Tutorial 1 - Integration Techniques - quiz (part5of5).xml,123033352,
Quiz 1: Integration Techniques,activities/quiz_8762,8762,1,Quiz 1: Integration Techniques - quiz.xml;Quiz 1: Integration Techniques - grades.xml;Quiz 1: Integration Techniques - inforef.xml,12871862,
Tutorial 2 - Improper Integrals & Fundamental Theorem of Calculus,activities/quiz_8761,8761,1,Tutorial 2 - Improper Integrals & Fundamental Theorem of Calculus - grades.xml;Tutorial 2 - Improper Integrals & Fundamental Theorem of Calculus - inforef.xml;Tutorial 2 - Improper Integrals & Fundamental Theorem of Calculus - quiz (part1of4).xml;Tutorial 2 - Improper Integrals & Fundamental Theorem of Calculus - quiz (part2of4).xml;Tutorial 2 - Improper Integrals & Fundamental Theorem of Calculus - quiz (part3of4).xml;Tutorial 2 - Improper Integrals & Fundamental Theorem of Calculus - quiz (part4of4).xml,91449251,
Tutorial 3 - Applications of Integrations,activities/quiz_8764,8764,1,Tutorial 3 - Applications of Integrations - grades.xml;Tutorial 3 - Applications of Integrations - inforef.xml;Tutorial 3 - Applications of Integrations - quiz (part1of5).xml;Tutorial 3 - Applications of Integrations - quiz (part2of5).xml;Tutorial 3 - Applications of Integrations - quiz (part3of5).xml;Tutorial 3 - Applications of Integrations - quiz (part4of5).xml;Tutorial 3 - Applications of Integrations - quiz (part5of5).xml,114371659,
Quiz 2: Improper Integrals and FTC,activities/quiz_8766,8766,1,Quiz 2: Improper Integrals and FTC - quiz.xml;Quiz 2: Improper Integrals and FTC - grades.xml;Quiz 2: Improper Integrals and FTC - inforef.xml,17086632,
Quiz 3: Applications of Integrations,activities/quiz_8771,8771,1,Quiz 3: Applications of Integrations - quiz.xml;Quiz 3: Applications of Integrations - grades.xml;Quiz 3: Applications of Integrations - inforef.xml,17063713,
Tutorial 4 - Introduction to Differential Equations and First Order DEs,activities/quiz_8770,8770,1,Tutorial 4 - Introduction to Differential Equations and First Order DEs - grades.xml;Tutorial 4 - Introduction to Differential Equations and First Order DEs - inforef.xml;Tutorial 4 - Introduction to Differential Equations and First Order DEs - quiz (part1of4).xml;Tutorial 4 - Introduction to Differential Equations and First Order DEs - quiz (part2of4).xml;Tutorial 4 - Introduction to Differential Equations and First Order DEs - quiz (part3of4).xml;Tutorial 4 - Introduction to Differential Equations and First Order DEs - quiz (part4of4).xml,87847501,
Quiz 4: Ordinary Differential Equations Basics,activities/quiz_8776,8776,1,Quiz 4: Ordinary Differential Equations Basics - quiz.xml;Quiz 4: Ordinary Differential Equations Basics - grades.xml;Quiz 4: Ordinary Differential Equations Basics - inforef.xml,13379037,
Tutorial 5 - Non-homogeneous DEs - Undetermined Coefficients,activities/quiz_8773,8773,1,Tutorial 5 - Non-homogeneous DEs - Undetermined Coefficients - grades.xml;Tutorial 5 - Non-homogeneous DEs - Undetermined Coefficients - inforef.xml;Tutorial 5 - Non-homogeneous DEs - Undetermined Coefficients - quiz (part1of3).xml;Tutorial 5 - Non-homogeneous DEs - Undetermined Coefficients - quiz (part2of3).xml;Tutorial 5 - Non-homogeneous DEs - Undetermined Coefficients - quiz (part3of3).xml,60547604,
Quiz 5: Method of Undetermined Coefficients,activities/quiz_8779,8779,1,Quiz 5: Method of Undetermined Coefficients - quiz.xml;Quiz 5: Method of Undetermined Coefficients - grades.xml;Quiz 5: Method of Undetermined Coefficients - inforef.xml,15267476,
Tutorial 6 - Non-homogeneous DEs - Variation of Parameters,activities/quiz_8778,8778,1,Tutorial 6 - Non-homogeneous DEs - Variation of Parameters - grades.xml;Tutorial 6 - Non-homogeneous DEs - Variation of Parameters - inforef.xml;Tutorial 6 - Non-homogeneous DEs - Variation of Parameters - quiz (part1of3).xml;Tutorial 6 - Non-homogeneous DEs - Variation of Parameters - quiz (part2of3).xml;Tutorial 6 - Non-homogeneous DEs - Variation of Parameters - quiz (part3of3).xml,58829525,
Quiz 6: Variation of Parameters,activities/quiz_8784,8784,1,Quiz 6: Variation of Parameters - quiz.xml;Quiz 6: Variation of Parameters - grades.xml;Quiz 6: Variation of Parameters - inforef.xml,15477432,
Tutorial 7 - Cauchy-Euler Differential Equations and Order Reduction Method,activities/quiz_8781,8781,1,Tutorial 7 - Cauchy-Euler Differential Equations and Order Reduction Method - grades.xml;Tutorial 7 - Cauchy-Euler Differential Equations and Order Reduction Method - inforef.xml;Tutorial 7 - Cauchy-Euler Differential Equations and Order Reduction Method - quiz (part1of2).xml;Tutorial 7 - Cauchy-Euler Differential Equations and Order Reduction Method - quiz (part2of2).xml,49014063,
Quiz 7: Cauchy-Euler and Order Reduction,activities/quiz_8787,8787,1,Quiz 7: Cauchy-Euler and Order Reduction - quiz.xml;Quiz 7: Cauchy-Euler and Order Reduction - grades.xml;Quiz 7: Cauchy-Euler and Order Reduction - inforef.xml,21920721,
Tutorial 8 - Power Series and Frobenius Methods,activities/quiz_8792,8792,1,Tutorial 8 - Power Series and Frobenius Methods - grades.xml;Tutorial 8 - Power Series and Frobenius Methods - inforef.xml;Tutorial 8 - Power Series and Frobenius Methods - quiz (part1of5).xml;Tutorial 8 - Power Series and Frobenius Methods - quiz (part2of5).xml;Tutorial 8 - Power Series and Frobenius Methods - quiz (part3of5).xml;Tutorial 8 - Power Series and Frobenius Methods - quiz (part4of5).xml;Tutorial 8 - Power Series and Frobenius Methods - quiz (part5of5).xml,106553933,
Quiz 8: Power Series and Frobenius Methods,activities/quiz_8799,8799,1,Quiz 8: Power Series and Frobenius Methods - quiz.xml;Quiz 8: Power Series and Frobenius Methods - grades.xml;Quiz 8: Power Series and Frobenius Methods - inforef.xml,11782922,
11.05.2023: Online Lecture - Bessel's Differential Equation and Bessel's Functions,activities/quiz_8909,8909,1,11.05.2023: Online Lecture - Bessel's Differential Equation and Bessel's Functions - quiz.xml;11.05.2023: Online Lecture - Bessel's Differential Equation and Bessel's Functions - grades.xml;11.05.2023: Online Lecture - Bessel's Differential Equation and Bessel's Functions - inforef.xml,6593618,
25.05.2023: Online Lecture - Bisection Method,activities/quiz_9098,9098,1,25.05.2023: Online Lecture - Bisection Method - quiz.xml;25.05.2023: Online Lecture - Bisection Method - grades.xml;25.05.2023: Online Lecture - Bisection Method - inforef.xml,3276547,
Tutorial 9 - Non-Linear Equations,activities/quiz_8788,8788,1,Tutorial 9 - Non-Linear Equations - grades.xml;Tutorial 9 - Non-Linear Equations - inforef.xml;Tutorial 9 - Non-Linear Equations - quiz (part1of3).xml;Tutorial 9 - Non-Linear Equations - quiz (part2of3).xml;Tutorial 9 - Non-Linear Equations - quiz (part3of3).xml,76234729,
Quiz 9: Non-Linear Equations,activities/quiz_8793,8793,1,Quiz 9: Non-Linear Equations - quiz.xml;Quiz 9: Non-Linear Equations - grades.xml;Quiz 9: Non-Linear Equations - inforef.xml,10677235,
Tutorial 10 - Numerical Differentiation and Numerical Integrations,activities/quiz_8796,8796,1,Tutorial 10 - Numerical Differentiation and Numerical Integrations - grades.xml;Tutorial 10 - Numerical Differentiation and Numerical Integrations - inforef.xml;Tutorial 10 - Numerical Differentiation and Numerical Integrations - quiz (part1of3).xml;Tutorial 10 - Numerical Differentiation and Numerical Integrations - quiz (part2of3).xml;Tutorial 10 - Numerical Differentiation and Numerical Integrations - quiz (part3of3).xml,59277687,
Quiz 10: Numerical Integrations and Numerical Differentiations,activities/quiz_8801,8801,1,Quiz 10: Numerical Integrations and Numerical Differentiations - quiz.xml;Quiz 10: Numerical Integrations and Numerical Differentiations - grades.xml;Quiz 10: Numerical Integrations and Numerical Differentiations - inforef.xml,26308456,
Tutorial 11 - Numerical odes and Taylor's Theorem,activities/quiz_8798,8798,1,Tutorial 11 - Numerical odes and Taylor's Theorem - grades.xml;Tutorial 11 - Numerical odes and Taylor's Theorem - inforef.xml;Tutorial 11 - Numerical odes and Taylor's Theorem - quiz (part1of4).xml;Tutorial 11 - Numerical odes and Taylor's Theorem - quiz (part2of4).xml;Tutorial 11 - Numerical odes and Taylor's Theorem - quiz (part3of4).xml;Tutorial 11 - Numerical odes and Taylor's Theorem - quiz (part4of4).xml,91623044,
Quiz 11: Numerical odes and Taylor's Theorem,activities/quiz_8802,8802,1,Quiz 11: Numerical odes and Taylor's Theorem - quiz.xml;Quiz 11: Numerical odes and Taylor's Theorem - grades.xml;Quiz 11: Numerical odes and Taylor's Theorem - inforef.xml,25566032,
Tutorial 12 - Infinite Series and Power Series,activities/quiz_8806,8806,1,Tutorial 12 - Infinite Series and Power Series - grades.xml;Tutorial 12 - Infinite Series and Power Series - inforef.xml;Tutorial 12 - Infinite Series and Power Series - quiz (part1of2).xml;Tutorial 12 - Infinite Series and Power Series - quiz (part2of2).xml,43984977,
Quiz 12: Infinite Series and Power Series,activities/quiz_8807,8807,1,Quiz 12: Infinite Series and Power Series - quiz.xml;Quiz 12: Infinite Series and Power Series - grades.xml;Quiz 12: Infinite Series and Power Series - inforef.xml,7834925,
Tutorial 13 - Fourier Series,activities/quiz_8808,8808,1,Tutorial 13 - Fourier Series - grades.xml;Tutorial 13 - Fourier Series - inforef.xml;Tutorial 13 - Fourier Series - quiz (part1of3).xml;Tutorial 13 - Fourier Series - quiz (part2of3).xml;Tutorial 13 - Fourier Series - quiz (part3of3).xml,53883094,
Quiz 13: Fourier Series,activities/quiz_8809,8809,1,Quiz 13: Fourier Series - quiz.xml;Quiz 13: Fourier Series - grades.xml;Quiz 13: Fourier Series - inforef.xml,4991302,
Quiz 14: (Optional for BONUS),activities/quiz_10062,10062,1,Quiz 14: (Optional for BONUS) - quiz.xml;Quiz 14: (Optional for BONUS) - grades.xml;Quiz 14: (Optional for BONUS) - inforef.xml,13717966,
