quiz_title,quiz_moduleid,userid,rawgrade,rawgrademax,finalgrade,timemodified
Quiz 0: Typing STACK Answers,13436,35,$@NULL@$,100.00000,$@NULL@$,$@NULL@$
Quiz 0: Typing STACK Answers,13436,14050,100.00000,100.00000,100.00000,1712055320
Quiz 0: Typing STACK Answers,13436,14807,100.00000,100.00000,100.00000,1712389708
Quiz 0: Typing STACK Answers,13436,13998,100.00000,100.00000,100.00000,1711571067
Quiz 0: Typing STACK Answers,13436,14052,100.00000,100.00000,100.00000,1711652504
Quiz 0: Typing STACK Answers,13436,14749,100.00000,100.00000,100.00000,1711785925
Quiz 0: Typing STACK Answers,13436,14820,100.00000,100.00000,100.00000,1711436695
Quiz 0: Typing STACK Answers,13436,14886,100.00000,100.00000,100.00000,1712204428
Quiz 0: Typing STACK Answers,13436,14891,100.00000,100.00000,100.00000,1711781887
Quiz 0: Typing STACK Answers,13436,13999,100.00000,100.00000,100.00000,1713075280
Quiz 0: Typing STACK Answers,13436,13984,100.00000,100.00000,100.00000,1711446705
Quiz 0: Typing STACK Answers,13436,13994,100.00000,100.00000,100.00000,1711453024
Quiz 0: Typing STACK Answers,13436,13983,100.00000,100.00000,100.00000,1711471885
Quiz 0: Typing STACK Answers,13436,14053,100.00000,100.00000,100.00000,1712553883
Quiz 0: Typing STACK Answers,13436,14122,$@NULL@$,100.00000,$@NULL@$,$@NULL@$
Quiz 0: Typing STACK Answers,13436,14180,100.00000,100.00000,100.00000,1711790506
Quiz 0: Typing STACK Answers,13436,14192,100.00000,100.00000,100.00000,1711571932
Quiz 0: Typing STACK Answers,13436,14179,100.00000,100.00000,100.00000,1711435529
Quiz 0: Typing STACK Answers,13436,14181,100.00000,100.00000,100.00000,1711430341
Quiz 0: Typing STACK Answers,13436,14183,100.00000,100.00000,100.00000,1711867245
Quiz 0: Typing STACK Answers,13436,14186,100.00000,100.00000,100.00000,1711520397
Quiz 0: Typing STACK Answers,13436,14735,100.00000,100.00000,100.00000,1713097466
Quiz 0: Typing STACK Answers,13436,14732,100.00000,100.00000,100.00000,1713085589
Quiz 0: Typing STACK Answers,13436,14734,100.00000,100.00000,100.00000,1711661656
Quiz 0: Typing STACK Answers,13436,14745,100.00000,100.00000,100.00000,1712736193
Quiz 0: Typing STACK Answers,13436,14757,$@NULL@$,100.00000,$@NULL@$,$@NULL@$
Quiz 0: Typing STACK Answers,13436,14823,100.00000,100.00000,100.00000,1712988909
Quiz 0: Typing STACK Answers,13436,14897,100.00000,100.00000,100.00000,1712652374
Quiz 0: Typing STACK Answers,13436,14951,100.00000,100.00000,100.00000,1711415452
Quiz 0: Typing STACK Answers,13436,14957,100.00000,100.00000,100.00000,1711868517
Quiz 0: Typing STACK Answers,13436,14001,100.00000,100.00000,100.00000,1714207916
Quiz 0: Typing STACK Answers,13436,14005,100.00000,100.00000,100.00000,1712602959
Quiz 0: Typing STACK Answers,13436,13993,100.00000,100.00000,100.00000,1711879345
Quiz 0: Typing STACK Answers,13436,14000,100.00000,100.00000,100.00000,1713112857
Quiz 0: Typing STACK Answers,13436,13985,100.00000,100.00000,100.00000,1711458304
Quiz 0: Typing STACK Answers,13436,14074,$@NULL@$,100.00000,$@NULL@$,$@NULL@$
Quiz 0: Typing STACK Answers,13436,14077,100.00000,100.00000,100.00000,1711476810
Quiz 0: Typing STACK Answers,13436,14078,100.00000,100.00000,100.00000,1712489046
Quiz 0: Typing STACK Answers,13436,14065,$@NULL@$,100.00000,$@NULL@$,$@NULL@$
Quiz 0: Typing STACK Answers,13436,14055,100.00000,100.00000,100.00000,1711698805
