question_id,name,category,qtype
202733,Q0_Instructions_1,Tutorial 00 - Syntax Practice,description
202734,Q0_Instructions_2,Tutorial 00 - Syntax Practice,description
202735,Q0_Instructions_3,Tutorial 00 - Syntax Practice,description
202736,Q0_Syntax-Equation,Tutorial 00 - Syntax Practice,stack
202737,Q0_Syntax-equiv,Tutorial 00 - Syntax Practice,stack
202738,Q0_Syntax-Exponentials,Tutorial 00 - Syntax Practice,stack
202739,Q0_Syntax-floating-point,Tutorial 00 - Syntax Practice,stack
202740,Q0_Syntax-inequalities,Tutorial 00 - Syntax Practice,stack
202741,Q0_Syntax-Logarithms,Tutorial 00 - Syntax Practice,stack
202742,Q0_Syntax-Polynomials,Tutorial 00 - Syntax Practice,stack
202743,Q0_Syntax-Rational-Expression,Tutorial 00 - Syntax Practice,stack
202744,Q0_Syntax-Sets-Lists,Tutorial 00 - Syntax Practice,stack
202745,Q0_Syntax-trigonometry,Tutorial 00 - Syntax Practice,stack
202746,T1_Diverging int kind2_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202747,T1_Int by part_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202748,T1_Int by t sub to atan_DZ_eCampus,Tutorial 01 - Integration Techniques,stack
202749,T1_int double angle trig sub_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202750,T1_Int exp fun sub_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202751,T1_Int odd fun to zero_IJ_eCampus,Tutorial 01 - Integration Techniques,stack
202752,T1_Int odd fun trig sub_IJ_eCampus,Tutorial 01 - Integration Techniques,stack
202753,T1_Int split interval_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202754,T1_Int sqrt sub_DZ_eCampus,Tutorial 01 - Integration Techniques,stack
202755,T1_Int trig sqrt fun_ANS_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202756,T1_Int trig sub_DZ_eCampus,Tutorial 01 - Integration Techniques,stack
202757,T1_Int trig subs_IJ_eCampus,Tutorial 01 - Integration Techniques,stack
202758,T1_Riemman sum quad fun_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202759,T1_int general sub_IA_eCampus,Tutorial 01 - Integration Techniques,stack
202760,Q1_Int by t sub to 3variants_IA,QUIZZES,stack
202761,Q1_Int by t sub to 3variants_IA_eCampus,Quiz 01 - Integrations Techniques,stack
202769,Q1_Riemman sum quad fun_IA_eCampus,Quiz 01 - Integrations Techniques,stack
202770,Q1_Int by t sub to 3variants_IA_eCampus (copy),Quiz 01 - Integrations Techniques,stack
202781,T2_Theorems_IA,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,description
202782,T2_covergence IBP_DZ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202783,T2_Improper convergent int by sub_DZ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202784,T2_Improper int by direct sub_DZ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202785,T2_improper int type 1 and 2_DZ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202786,T2_Int FTC2 _ pow lim_IJ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202787,T2_Int FTC2 _IJ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202788,T2_Int FTC2 in_IJ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202789,T2_Int prf convg to pi_IJ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202790,T2_Int show divergent_IJ,Tutorial 02 - Improper Integrals and Fundamental Theorem of Calculus,stack
202791,T3_centroid Definition_IA,Tutorial 03 - Applications of Integrations,description
202792,T3_area between P3 and P2_IA,Tutorial 03 - Applications of Integrations,stack
202793,T3_area btn line and y^2=ax+b meet at x-axis_IA,Tutorial 03 - Applications of Integrations,stack
202794,T3_area btn line and y^2=ax+b meet elsewhere_IA,Tutorial 03 - Applications of Integrations,stack
202795,T3_area btn line and y=ax^2+bx+c_IA,Tutorial 03 - Applications of Integrations,stack
202796,T3_area btn two P2 and a line_IA,Tutorial 03 - Applications of Integrations,stack
202797,T3_area of triangle_IA,Tutorial 03 - Applications of Integrations,stack
202798,T3_centroid of region btn 2 curves_IA,Tutorial 03 - Applications of Integrations,stack
202799,T3_centroid of right < triangle_IA,Tutorial 03 - Applications of Integrations,stack
202800,T3_centroid of sqrt fun and verical_IA,Tutorial 03 - Applications of Integrations,stack
202801,T3_length of a parametric curve_IA,Tutorial 03 - Applications of Integrations,stack
202802,T3_Work done_DZ,Tutorial 03 - Applications of Integrations,stack
202803,T3_length of a curve_DZ_IA,Tutorial 03 - Applications of Integrations,stack
202805,Q2_Int FTC2 _ pow lim_IJ2IA,Quiz 02 - Improper Integrals and FTC,stack
202806,Q2_Int prf convg to pi_IJ2IA,Random Q2,stack
202807,Q2_covergence IBP_DZ2IA,Random Q2,stack
202808,Q2_improper int type 1 and 2_DZ2IA,Random Q2,stack
202810,Random (Random Q2),Random Q2,random
202811,T4_Application of Linear DE with IF_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202812,T4_Bernoulli DE_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202813,T4_classification of odes_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202814,T4_exact DE_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202815,T4_homogeneous order 1 DE_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202816,T4_Newtons Cooling_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202817,T4_proof sum of solutions_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202818,T4_separable DE_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,stack
202819,T4_Basic Information on DE_IA,Tutorial 04 - Introduction to Ordinary Differential Equations,description
202820,Q3_length of a curve_IA,Quiz 03 - Applications of Integrations,stack
202821,Q3_area btn line and y^2=ax+b meet at x-axis_IA,areas btn curves,stack
202822,Q3_area btn line and y^2=ax+b meet elsewhere_IA,areas btn curves,stack
202823,Q3_area of triangle_IA,areas btn curves,stack
202824,Random (areas btn curves),areas btn curves,random
202825,Q3_centroid of region btn 2 curves_IA,centroid btn curves,stack
202826,Q3_centroid of right < triangle_IA,centroid btn curves,stack
202827,Q3_centroid of sqrt fun and verical_IA,centroid btn curves,stack
202828,Random (centroid btn curves),centroid btn curves,random
202829,Q4_Application of Linear DE with IF_IA,Quiz 04 - Ordinary Differential Equations Basics,stack
202830,Q4_Bernoulli DE_IA,Quiz 04 - Ordinary Differential Equations Basics,stack
202831,Q4_exact DE_IA,Quiz 04 - Ordinary Differential Equations Basics,stack
202837,Q4_Newtons Cooling_IA,Quiz 04 - Ordinary Differential Equations Basics,stack
202838,Q4_separable DE_IA,Quiz 04 - Ordinary Differential Equations Basics,stack
202839,Random (Quiz 04 - Ordinary Differential Equations Basics),Quiz 04 - Ordinary Differential Equations Basics,random
202840,Random (Quiz 04 - Ordinary Differential Equations Basics),Quiz 04 - Ordinary Differential Equations Basics,random
202841,Q4_proof sum of solutions_IA,Quiz 04 - Ordinary Differential Equations Basics,stack
202842,Q5_2nd order ode UC_IVP_two exp terms F(x)_IA,Quiz 05 - Undetermined Coefficients,stack
202843,Q5_2nd order ode UC_IVP_two trig terms F(x)_IA,Quiz 05 - Undetermined Coefficients,stack
202844,Q5_2nd order UC_IVP_ode_repeated roots exp_IA,Quiz 05 - Undetermined Coefficients,stack
202845,Q5_UC set contain homo_soln1_exp_IA,Quiz 05 - Undetermined Coefficients,stack
202846,Q5_UC set contain homo_soln1_trig_IA,Quiz 05 - Undetermined Coefficients,stack
202847,Q5_UC set contain homo_soln2_exp_IA,Quiz 05 - Undetermined Coefficients,stack
202848,Q5_UC set contain homo_soln2_trig_IA,Quiz 05 - Undetermined Coefficients,stack
202849,Q5_UC set contain no homo_soln_exp_IA,Quiz 05 - Undetermined Coefficients,stack
202850,Q5_UC set contain no homo_soln_trig_IA,Quiz 05 - Undetermined Coefficients,stack
202851,Q5_UC set homo_repeated root1_exp_IA,Quiz 05 - Undetermined Coefficients,stack
202852,Q5_UC set homo_repeated root2_exp_IA,Quiz 05 - Undetermined Coefficients,stack
202853,Random (Quiz 05 - Undetermined Coefficients),Quiz 05 - Undetermined Coefficients,random
202854,Random (Quiz 05 - Undetermined Coefficients),Quiz 05 - Undetermined Coefficients,random
202855,Random (Quiz 05 - Undetermined Coefficients),Quiz 05 - Undetermined Coefficients,random
202856,Random (Quiz 05 - Undetermined Coefficients),Quiz 05 - Undetermined Coefficients,random
202857,Q5_UC set contain homo_soln1_trig_IAwithYp,Quiz 05 - Undetermined Coefficients,stack
202865,T6_VP_exp_sqrt_F(x)_distinct_roots_IA,Tutorial 06 - Variation of Parameters,stack
202866,T6_VP_exp_sqrt_F(x)_repeated roots_IA,Tutorial 06 - Variation of Parameters,stack
