quiz_title,quiz_moduleid,attempt_id,userid,attemptnum,attempt_state,timestart,timefinish,sumgrades,slot,questionid,variant,behaviour,maxmark,minfraction,maxfraction,questionsummary,rightanswer,responsesummary,final_state,final_fraction,n_steps,first_step_time,last_step_time
Tutorial 12A - Infinite Series and Power Series,17943,437371,19894,2,finished,1751128509,1751131076,65.00000,3,203074,9,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({x\,e^ {- \frac{8\,x}{9} }}\)","Seed: 519083012; ans1: 1 [score]; ans2: integrate(x*%e^-((8*x)/9),x,1,inf) [score]; ans3: (153*%e^-1)/64 [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T | prt1-4-T","Seed: 519083012; ans1: 1 [score]; ans2: int(x*e^-((8/9)*x),x,1,inf) [score]; ans3: 153/64*e^-1 [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T | prt1-4-T",gradedright,1.0000000,5,1751128509,1751131076
Tutorial 12A - Infinite Series and Power Series,17943,437371,19894,2,finished,1751128509,1751131076,65.00000,4,203075,13,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,\({\frac{\frac{1+6}{1+8}}{\sqrt{x}}}\),"Seed: 2143009978; ans1: 1 [score]; ans2: integrate(7/(9*sqrt(x)),x,1,inf) [score]; ans3: inf [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-F | prt1-3-T | prt1-4-T","Seed: 2143009978; ans1: 1 [score]; ans2: int(7/(9*sqrt(x)),x,1,inf) [score]; ans3: inf [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-F | prt1-3-T | prt1-4-T",gradedright,1.0000000,4,1751128509,1751131076
Tutorial 12A - Infinite Series and Power Series,17943,437371,19894,2,finished,1751128509,1751131076,65.00000,5,203076,18,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\left[ \frac{7}{{\left(1-x\right)}^3} , 4 \right]}\)",Seed: 338765017; ans1: 1 [score]; ans2: 1/7+(3*x)/7+(6*x^2)/7+(10*x^3)/7 [score]; ans3: abs(x) < 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T,Seed: 338765017; ans1: 1 [score]; ans2: 7+21*x+42*x^2+70*x^3 [score]; ans3: abs(x)<1 [score]; prt1: # = 0.25 | prt1-1-T | prt1-2-F,gradedpartial,0.2500000,4,1751128509,1751131076
Tutorial 12A - Infinite Series and Power Series,17943,437371,19894,2,finished,1751128509,1751131076,65.00000,6,203077,35,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\frac{{\left(x+4\right)}^{n}}{\left(n+5\right)\,4^{n}}}\)",Seed: 1842088849; ans1: 1 [score]; ans2: abs(a[n+1])/abs(a[n]) = (abs(n+5)*abs(x+4))/(4*abs(n+6)) [score]; ans4: abs(x+4)/4 [score]; ans5: 1 [score]; ans6: x > -8 and x < 0 [score]; ans7: 4 [score]; prt1: # = 1 | prt1-1-T | ATEquation_sides | prt1-2-T | prt1-5-T | prt1-4-T | prt1-6-T | prt1-7-T,Seed: 1842088849; ans1: 8 [score]; ans2: abs(a[n+1])/abs(a[n])=(abs(n+4)*abs(x+5))/(4*abs(n+5)) [score]; ans4: abs(x+5)/4 [score]; ans5: 1 [score]; ans6: x>-9 and x<-1 [score]; ans7: 4 [score]; prt1: # = 0 | prt1-1-F,gradedwrong,0.0000000,4,1751128509,1751131076
Tutorial 12A - Infinite Series and Power Series,17943,437376,20101,2,finished,1751128839,1751133778,62.00000,1,203072,1,informationitem,0.0000000,0.0000000,1.0000000,$@NULL@$,$@NULL@$,$@NULL@$,finished,$@NULL@$,3,1751128839,1751133778
Tutorial 12A - Infinite Series and Power Series,17943,437376,20101,2,finished,1751128839,1751133778,62.00000,2,203073,39,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\left[ \sin \left( x \right) , \frac{\sin \left( \frac{\pi\,n}{4} \right)}{n^2} \right]}\)",Seed: 308367574; ans1: 1 [score]; ans2: abs(sin((%pi*n)/4))/n^2 < 1/n^2 [score]; ans4: true [score]; ans5: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | ATLogic_True. | prt1-5-T | prt1-4-T,Seed: 308367574; ans1: 1 [score]; ans2: abs(cos((pi*n)/4)/n^2)<1/n^2 [score]; ans4: true [score]; ans5: 1 [score]; prt1: # = 0.75 | prt1-1-T | prt1-2-F | ATLogic_True. | prt1-5-T | prt1-4-T,gradedpartial,0.7500000,3,1751128839,1751133778
Tutorial 12A - Infinite Series and Power Series,17943,437376,20101,2,finished,1751128839,1751133778,62.00000,3,203074,7,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({x\,e^ {- \frac{5\,x}{4} }}\)","Seed: 858816707; ans1: 1 [score]; ans2: integrate(x*%e^-((5*x)/4),x,1,inf) [score]; ans3: (36*%e^-1)/25 [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T | prt1-4-T","Seed: 858816707; ans1: 1 [score]; ans2: int(x*e^((-5*x)/4),x,1,inf) [score]; ans3: (36/25)*e^(-5/4) [score]; ans4: 1 [score]; prt1: # = 0.5 | prt1-1-T | prt1-2-T | prt1-3-F",gradedpartial,0.5000000,3,1751128839,1751133778
Tutorial 12A - Infinite Series and Power Series,17943,437376,20101,2,finished,1751128839,1751133778,62.00000,4,203075,41,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,\({\frac{\frac{1+2}{1+6}}{\sqrt{x}}}\),"Seed: 1458918904; ans1: 1 [score]; ans2: integrate(3/(7*sqrt(x)),x,1,inf) [score]; ans3: inf [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-F | prt1-3-T | prt1-4-T","Seed: 1458918904; ans1: 1 [score]; ans2: int((3/(7*sqrt(x))),x,1,inf) [score]; ans3: inf [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-F | prt1-3-T | prt1-4-T",gradedright,1.0000000,3,1751128839,1751133778
Tutorial 12A - Infinite Series and Power Series,17943,437376,20101,2,finished,1751128839,1751133778,62.00000,5,203076,31,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\left[ \frac{7}{{\left(1-x\right)}^3} , 6 \right]}\)",Seed: 45325931; ans1: 1 [score]; ans2: 1/7+(3*x)/7+(6*x^2)/7+(10*x^3)/7+(15*x^4)/7+3*x^5 [score]; ans3: abs(x) < 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T,Seed: 45325931; prt1: !,gaveup,$@NULL@$,3,1751128839,1751133778
Tutorial 12A - Infinite Series and Power Series,17943,437376,20101,2,finished,1751128839,1751133778,62.00000,6,203077,25,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\frac{{\left(x+5\right)}^{n}}{\left(n+7\right)\,3^{n}}}\)",Seed: 1699896049; ans1: 1 [score]; ans2: abs(a[n+1])/abs(a[n]) = (abs(n+7)*abs(x+5))/(3*abs(n+8)) [score]; ans4: abs(x+5)/3 [score]; ans5: 1 [score]; ans6: x > -8 and x < -2 [score]; ans7: 3 [score]; prt1: # = 1 | prt1-1-T | ATEquation_sides | prt1-2-T | prt1-5-T | prt1-4-T | prt1-6-T | prt1-7-T,Seed: 1699896049; ans1: 1 [score]; ans2: abs(a[n+1])/abs(a[n])=(abs(x+5)^(n+1))/abs((n+8)*3^(n+1))*abs((n+7)*3^n/(x+5)^n) [score]; ans4: abs(x+5)/3 [score]; ans5: 1 [score]; ans6: x>-8 and x<-2 [score]; ans7: 3 [score]; prt1: # = 0.85 | prt1-1-T | ATEquation_lhs_notrhs | prt1-2-F | prt1-5-T | prt1-4-T | prt1-6-T | prt1-7-T,gradedpartial,0.8500000,5,1751128839,1751133778
Tutorial 12A - Infinite Series and Power Series,17943,437377,20110,1,finished,1751128841,1751132839,50.00000,1,203072,1,informationitem,0.0000000,0.0000000,1.0000000,$@NULL@$,$@NULL@$,$@NULL@$,finished,$@NULL@$,3,1751128841,1751132839
Tutorial 12A - Infinite Series and Power Series,17943,437377,20110,1,finished,1751128841,1751132839,50.00000,2,203073,39,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\left[ \sin \left( x \right) , \frac{\sin \left( \frac{\pi\,n}{4} \right)}{n^2} \right]}\)",Seed: 308367574; ans1: 1 [score]; ans2: abs(sin((%pi*n)/4))/n^2 < 1/n^2 [score]; ans4: true [score]; ans5: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | ATLogic_True. | prt1-5-T | prt1-4-T,Seed: 308367574; ans1: 1 [score]; ans2: abs(sin((pi*n)/4))/n^2 [score]; ans4: true [score]; ans5: 1 [score]; prt1: # = 0.75 | prt1-1-T | ATAlgEquiv_SA_not_inequality. | prt1-2-F | ATLogic_True. | prt1-5-T | prt1-4-T,gradedpartial,0.7500000,3,1751128841,1751132839
Tutorial 12A - Infinite Series and Power Series,17943,437377,20110,1,finished,1751128841,1751132839,50.00000,3,203074,18,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({x\,e^ {- \frac{x}{9} }}\)","Seed: 621156935; ans1: 1 [score]; ans2: integrate(x*%e^-(x/9),x,1,inf) [score]; ans3: 90*%e^-1 [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T | prt1-4-T","Seed: 621156935; ans1: 1 [score]; ans2: int(x*e^(-x/9),x,1,inf) [score]; ans3: 10*e^(-1/9)/81 [score]; ans4: 1 [score]; prt1: # = 0.5 | prt1-1-T | prt1-2-T | prt1-3-F",gradedpartial,0.5000000,3,1751128841,1751132839
Tutorial 12A - Infinite Series and Power Series,17943,437377,20110,1,finished,1751128841,1751132839,50.00000,4,203075,19,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,\({\frac{\frac{1+4}{1+5}}{\sqrt{x}}}\),"Seed: 2043324368; ans1: 1 [score]; ans2: integrate(5/(6*sqrt(x)),x,1,inf) [score]; ans3: inf [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-F | prt1-3-T | prt1-4-T","Seed: 2043324368; ans1: 1 [score]; ans2: int(5/(6*sqrt(x)),x,1,inf) [score]; ans3: inf [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-F | prt1-3-T | prt1-4-T",gradedright,1.0000000,3,1751128841,1751132839
Tutorial 12A - Infinite Series and Power Series,17943,437377,20110,1,finished,1751128841,1751132839,50.00000,5,203076,50,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\left[ \frac{7}{{\left(1-x\right)}^4} , 7 \right]}\)",Seed: 287926594; ans1: 1 [score]; ans2: 1/7+(4*x)/7+(10*x^2)/7+(20*x^3)/7+5*x^4+8*x^5+12*x^6 [score]; ans3: abs(x) < 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T,Seed: 287926594; ans1: 1 [score]; ans2: 7+28*x+70*x^2+140*x^3+245*x^4 [score]; ans3: abs(x)<1 [score]; prt1: # = 0.25 | prt1-1-T | prt1-2-F,gradedpartial,0.2500000,3,1751128841,1751132839
Tutorial 12A - Infinite Series and Power Series,17943,437377,20110,1,finished,1751128841,1751132839,50.00000,6,203077,25,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\frac{{\left(x+5\right)}^{n}}{\left(n+7\right)\,3^{n}}}\)",Seed: 1699896049; ans1: 1 [score]; ans2: abs(a[n+1])/abs(a[n]) = (abs(n+7)*abs(x+5))/(3*abs(n+8)) [score]; ans4: abs(x+5)/3 [score]; ans5: 1 [score]; ans6: x > -8 and x < -2 [score]; ans7: 3 [score]; prt1: # = 1 | prt1-1-T | ATEquation_sides | prt1-2-T | prt1-5-T | prt1-4-T | prt1-6-T | prt1-7-T,Seed: 1699896049; ans1: 1 [score]; ans2: abs(a[n+1])/abs(a[1])=((abs(x+5))*(abs(n+7)))/(3*abs(n+8)) [score]; ans4: (abs(x+5))/3 [score]; ans5: 1 [score]; ans6: x>-8 and x<2 [score]; ans7: 3 [score]; prt1: [RUNTIME_ERROR] CAS failed to return any data due to timeout.!,gaveup,$@NULL@$,3,1751128841,1751132839
Tutorial 12A - Infinite Series and Power Series,17943,437378,20254,1,finished,1751128884,1751131093,10.00000,1,203072,1,informationitem,0.0000000,0.0000000,1.0000000,$@NULL@$,$@NULL@$,$@NULL@$,finished,$@NULL@$,3,1751128884,1751131093
Tutorial 12A - Infinite Series and Power Series,17943,437378,20254,1,finished,1751128884,1751131093,10.00000,2,203073,35,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\left[ \sin \left( x \right) , \frac{\sin \left( \frac{\pi\,n}{2} \right)}{n^4} \right]}\)",Seed: 316066144; ans1: 1 [score]; ans2: abs(sin((%pi*n)/2))/n^4 < 1/n^4 [score]; ans4: true [score]; ans5: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | ATLogic_True. | prt1-5-T | prt1-4-T,Seed: 316066144; ans1: 1 [score]; ans2: abs((sin(%pi*n))/n^4)<=1/n^4 [score]; ans4: p=4 [score]; ans5: 4 [score]; prt1: # = 0.25 | prt1-1-T | ATInequality_nonstrict. | prt1-2-F | ATAlgEquiv_TA_not_equation. | prt1-5-F,gradedpartial,0.2500000,3,1751128884,1751131093
Tutorial 12A - Infinite Series and Power Series,17943,437378,20254,1,finished,1751128884,1751131093,10.00000,3,203074,23,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({x\,e^ {- \frac{x}{8} }}\)","Seed: 1826086377; ans1: 1 [score]; ans2: integrate(x*%e^-(x/8),x,1,inf) [score]; ans3: 72*%e^-1 [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T | prt1-4-T","Seed: 1826086377; ans1: 2 [score]; ans2: limit(abs(((n+1)*e^((-(n+1))/8))/(n*e^(-n/8))),n,inf) [score]; ans3: e^(-1/8) [score]; ans4: 1 [score]; prt1: # = 0 | prt1-1-F",gradedwrong,0.0000000,6,1751128884,1751131093
Tutorial 12A - Infinite Series and Power Series,17943,437378,20254,1,finished,1751128884,1751131093,10.00000,4,203075,29,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,\({\frac{\frac{1+1}{1+3}}{\sqrt{x}}}\),"Seed: 1932219323; ans1: 1 [score]; ans2: integrate(1/(2*sqrt(x)),x,1,inf) [score]; ans3: inf [score]; ans4: 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-F | prt1-3-T | prt1-4-T",Seed: 1932219323; ans1: 3 [score]; ans2: 1/n^(1/2) [score]; ans3: p=1/2 [score]; ans4: 1 [score]; prt1: # = 0 | prt1-1-F,gradedwrong,0.0000000,4,1751128884,1751131093
Tutorial 12A - Infinite Series and Power Series,17943,437378,20254,1,finished,1751128884,1751131093,10.00000,5,203076,24,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\left[ \frac{10}{{\left(1-x\right)}^4} , 8 \right]}\)",Seed: 1200790529; ans1: 1 [score]; ans2: 1/10+(2*x)/5+x^2+2*x^3+(7*x^4)/2+(28*x^5)/5+(42*x^6)/5+12*x^7 [score]; ans3: abs(x) < 1 [score]; prt1: # = 1 | prt1-1-T | prt1-2-T | prt1-3-T,Seed: 1200790529; ans1: 1 [score]; ans2: 10+40*x+100*x^2 +200*x^3+350*x^4 +560*x^5+840*x^6+ 1200*x^7 [score]; ans3: abs(x)<1 [score]; prt1: # = 0.25 | prt1-1-T | prt1-2-F,gradedpartial,0.2500000,3,1751128884,1751131093
Tutorial 12A - Infinite Series and Power Series,17943,437378,20254,1,finished,1751128884,1751131093,10.00000,6,203077,30,dfexplicitvaildate,20.0000000,0.0000000,1.0000000,"\({\frac{{\left(x+4\right)}^{n}}{\left(n+7\right)\,4^{n}}}\)",Seed: 1232675047; ans1: 1 [score]; ans2: abs(a[n+1])/abs(a[n]) = (abs(n+7)*abs(x+4))/(4*abs(n+8)) [score]; ans4: abs(x+4)/4 [score]; ans5: 1 [score]; ans6: x > -8 and x < 0 [score]; ans7: 4 [score]; prt1: # = 1 | prt1-1-T | ATEquation_sides | prt1-2-T | prt1-5-T | prt1-4-T | prt1-6-T | prt1-7-T,Seed: 1232675047; ans1: 8 [score]; ans2: abs((x+4)^(n+1)/(((n+1)+7)*4^(n+1))*(((n+7)*4^n)/(x+4)^n)) [score]; ans4: abs((x+4)/4) [score]; ans5: 4 [score]; ans6: abs((x+4)/4)<1 [score]; ans7: 4 [score]; prt1: # = 0 | prt1-1-F,gradedwrong,0.0000000,3,1751128884,1751131093
